Date,Open,High,Low,Close,Adj Close,Volume
6/8/2017,62.299999,64.150002,62.169998,63.18,58.071125,5021300
6/9/2017,63.009998,65.760002,62.889999,65.260002,59.982937,6201200
6/12/2017,65.260002,66.830002,65.260002,65.919998,60.589561,6725900
6/13/2017,65.830002,66.980003,65.540001,66.529999,61.150234,4336400
6/14/2017,66.419998,66.529999,64.120003,64.75,59.514172,6431000
6/15/2017,64.459999,65,64.150002,64.690002,59.459026,3974100
6/16/2017,65,66.040001,64.639999,65.800003,60.479275,6522500
6/19/2017,65.760002,66.949997,65.75,66.610001,61.223774,4078300
6/20/2017,65.949997,66.370003,65.150002,65.650002,60.3414,3634100
6/21/2017,65.169998,65.489998,63.77,64.68,59.449833,5566100
6/22/2017,65.660004,65.660004,64.769997,64.82,59.57851,3801400
6/23/2017,64.720001,66.080002,64.580002,65.980003,60.644718,4915200
6/26/2017,66.18,66.480003,65.760002,66.040001,60.699856,3376800
6/27/2017,66.099998,67.839996,65.970001,66.809998,61.4076,5447300
6/28/2017,67.139999,68.139999,66.970001,67.470001,62.014225,3336400
6/29/2017,67.790001,68.389999,66.769997,67.089996,61.664955,3282900
6/30/2017,67.550003,67.769997,66.870003,67.459999,62.005024,2972000
7/3/2017,67.809998,68.440002,67.660004,68.019997,62.519749,2160000
7/5/2017,68,68.25,66.959999,67.07,61.646568,3938100
7/6/2017,66.989998,67.18,66.18,66.459999,61.085892,3332100
7/7/2017,66.440002,68.419998,66.25,68.18,62.666817,5083600
7/10/2017,68.050003,68.489998,67.940002,68.089996,62.584095,3718200
7/11/2017,68.029999,68.449997,67.730003,67.93,62.437031,2188200
7/12/2017,68.480003,68.550003,67.440002,68.029999,62.528946,4206100
7/13/2017,67.870003,68.379997,67.040001,67.779999,62.299152,2883700
7/14/2017,67.839996,68.330002,67.410004,68.040001,62.538143,2194700
7/17/2017,67.82,68,67.32,67.43,61.977459,2868800
7/18/2017,67.720001,67.760002,67.199997,67.510002,62.050991,2816000
7/19/2017,67.599998,68.690002,67.540001,68.029999,62.528946,3481900
7/20/2017,68.389999,68.43,67.300003,67.519997,62.060177,2914800
7/21/2017,67.519997,67.870003,67.010002,67.779999,62.299152,2725700
7/24/2017,67.629997,68.089996,67.540001,67.68,62.207249,2318800
